sep=;
Nama;Kategori;Harga Beli;Harga Jual;Stok;Stok Minimum;Satuan;SKU;Barcode
Teh Kotak Rasa-5 V32;Minuman;4004;5747;204;12;kg;MIN-0032;8990000000032
Biskuit 150g Rasa-6 V33;Snack;4088;5884;17;18;ml;SNA-0033;8990000000033
Kecap Asin Rasa-7 V34;Bumbu;4172;6021;70;24;pcs;BUM-0034;8990000000034
Minyak Goreng 2L Rasa-8 V35;Sembako;4256;6158;123;5;kg;SEM-0035;8990000000035
Susu UHT Vanila V36;Susu;4340;6295;176;11;ml;SUS-0036;8990000000036
Sikat Gigi Rasa-1 V37;Perawatan;4424;6432;229;17;pcs;PER-0037;8990000000037
Tali Rasa-2 V38;Lain-lain;4508;6569;42;23;kg;LAI-0038;8990000000038
Pemutih Rasa-3 V39;Rumahan;4592;6706;95;4;ml;RUM-0039;8990000000039
Otak-otak Rasa-4 V40;Beku;4676;6843;148;10;pcs;BEK-0040;8990000000040
Indomie Goreng V41;Makanan;4760;6980;201;16;kg;MAK-0041;8990000000041
Teh Kotak Rasa-6 V42;Minuman;4844;7117;14;22;ml;MIN-0042;8990000000042
Biskuit 150g Rasa-7 V43;Snack;4928;7254;67;3;pcs;SNA-0043;8990000000043
Kecap Asin Rasa-8 V44;Bumbu;5012;7391;120;9;kg;BUM-0044;8990000000044
Minyak Goreng 2L Rasa-9 V45;Sembako;5096;7528;173;15;ml;SEM-0045;8990000000045
Susu UHT Vanila V46;Susu;5180;7665;226;21;pcs;SUS-0046;8990000000046
Sikat Gigi Rasa-2 V47;Perawatan;5264;7802;39;2;kg;PER-0047;8990000000047
Tali Rasa-3 V48;Lain-lain;5348;7939;92;8;ml;LAI-0048;8990000000048
Pemutih Rasa-4 V49;Rumahan;5432;8076;145;14;pcs;RUM-0049;8990000000049
Otak-otak Rasa-5 V50;Beku;5516;8213;198;20;kg;BEK-0050;8990000000050
Indomie Goreng V51;Makanan;5600;8350;11;1;ml;MAK-0051;8990000000051
Teh Kotak Rasa-7 V52;Minuman;5684;8487;64;7;pcs;MIN-0052;8990000000052
Biskuit 150g Rasa-8 V53;Snack;5768;8624;117;13;kg;SNA-0053;8990000000053
Kecap Asin Rasa-9 V54;Bumbu;5852;8761;170;19;ml;BUM-0054;8990000000054
Minyak Goreng 2L Rasa-1 V55;Sembako;5936;8898;223;25;pcs;SEM-0055;8990000000055
Susu UHT Vanila V56;Susu;6020;9035;36;6;kg;SUS-0056;8990000000056
Sikat Gigi Rasa-3 V57;Perawatan;6104;9172;89;12;ml;PER-0057;8990000000057
Tali Rasa-4 V58;Lain-lain;6188;9309;142;18;pcs;LAI-0058;8990000000058
Pemutih Rasa-5 V59;Rumahan;6272;9446;195;24;kg;RUM-0059;8990000000059
Otak-otak Rasa-6 V60;Beku;6356;9583;8;5;ml;BEK-0060;8990000000060
Indomie Goreng V61;Makanan;6440;9720;61;11;pcs;MAK-0061;8990000000061
Teh Kotak Rasa-8 V62;Minuman;6524;9857;114;17;kg;MIN-0062;8990000000062
Biskuit 150g Rasa-9 V63;Snack;6608;9994;167;23;ml;SNA-0063;8990000000063
Kecap Asin Rasa-1 V64;Bumbu;6692;10131;220;4;pcs;BUM-0064;8990000000064
Minyak Goreng 2L Rasa-2 V65;Sembako;6776;10268;33;10;kg;SEM-0065;8990000000065
Susu UHT Vanila V66;Susu;6860;10405;86;16;ml;SUS-0066;8990000000066
Sikat Gigi Rasa-4 V67;Perawatan;6944;10542;139;22;pcs;PER-0067;8990000000067
Tali Rasa-5 V68;Lain-lain;7028;10679;192;3;kg;LAI-0068;8990000000068
Pemutih Rasa-6 V69;Rumahan;7112;10816;5;9;ml;RUM-0069;8990000000069
Otak-otak Rasa-7 V70;Beku;7196;10953;58;15;pcs;BEK-0070;8990000000070
Indomie Goreng V71;Makanan;7280;11090;111;21;kg;MAK-0071;8990000000071
Teh Kotak Rasa-9 V72;Minuman;7364;11227;164;2;ml;MIN-0072;8990000000072
Biskuit 150g Rasa-1 V73;Snack;7448;11364;217;8;pcs;SNA-0073;8990000000073
Kecap Asin Rasa-2 V74;Bumbu;7532;11501;30;14;kg;BUM-0074;8990000000074
Minyak Goreng 2L Rasa-3 V75;Sembako;7616;11638;83;20;ml;SEM-0075;8990000000075
Susu UHT Vanila V76;Susu;7700;11775;136;1;pcs;SUS-0076;8990000000076
Sikat Gigi Rasa-5 V77;Perawatan;11784;11912;189;7;kg;PER-0077;8990000000077
Tali Rasa-6 V78;Lain-lain;11868;12049;2;13;ml;LAI-0078;8990000000078
Pemutih Rasa-7 V79;Rumahan;11952;12186;55;19;pcs;RUM-0079;8990000000079
Otak-otak Rasa-8 V80;Beku;12036;12323;108;25;kg;BEK-0080;8990000000080
Indomie Goreng V81;Makanan;12120;12460;161;6;ml;MAK-0081;8990000000081
Teh Kotak Rasa-1 V82;Minuman;12204;12597;214;12;pcs;MIN-0082;8990000000082
Biskuit 150g Rasa-2 V83;Snack;12288;12734;27;18;kg;SNA-0083;8990000000083
Kecap Asin Rasa-3 V84;Bumbu;12372;12871;80;24;ml;BUM-0084;8990000000084
Minyak Goreng 2L Rasa-4 V85;Sembako;12456;13008;133;5;pcs;SEM-0085;8990000000085
Susu UHT Vanila V86;Susu;12540;13145;186;11;kg;SUS-0086;8990000000086
Sikat Gigi Rasa-6 V87;Perawatan;12624;13282;239;17;ml;PER-0087;8990000000087
Tali Rasa-7 V88;Lain-lain;12708;13419;52;23;pcs;LAI-0088;8990000000088
Pemutih Rasa-8 V89;Rumahan;12792;13556;105;4;kg;RUM-0089;8990000000089
Otak-otak Rasa-9 V90;Beku;12876;13693;158;10;ml;BEK-0090;8990000000090
Indomie Goreng V91;Makanan;12960;13830;211;16;pcs;MAK-0091;8990000000091
Teh Kotak Rasa-2 V92;Minuman;13044;13967;24;22;kg;MIN-0092;8990000000092
Biskuit 150g Rasa-3 V93;Snack;13128;14104;77;3;ml;SNA-0093;8990000000093
Kecap Asin Rasa-4 V94;Bumbu;13212;14241;130;9;pcs;BUM-0094;8990000000094
Minyak Goreng 2L Rasa-5 V95;Sembako;13296;14378;183;15;kg;SEM-0095;8990000000095
Susu UHT Vanila V96;Susu;13380;14515;236;21;ml;SUS-0096;8990000000096
Sikat Gigi Rasa-7 V97;Perawatan;13464;14652;49;2;pcs;PER-0097;8990000000097
Tali Rasa-8 V98;Lain-lain;13548;14789;102;8;kg;LAI-0098;8990000000098
Pemutih Rasa-9 V99;Rumahan;13632;14926;155;14;ml;RUM-0099;8990000000099
Otak-otak Rasa-1 V100;Beku;13716;15063;208;20;pcs;BEK-0100;8990000000100
Indomie Goreng V101;Makanan;13800;15200;21;1;kg;MAK-0101;8990000000101
Teh Kotak Rasa-3 V102;Minuman;13884;15337;74;7;ml;MIN-0102;8990000000102
Biskuit 150g Rasa-4 V103;Snack;13968;15474;127;13;pcs;SNA-0103;8990000000103
Kecap Asin Rasa-5 V104;Bumbu;14052;15611;180;19;kg;BUM-0104;8990000000104
Minyak Goreng 2L Rasa-6 V105;Sembako;14136;15748;233;25;ml;SEM-0105;8990000000105
Susu UHT Vanila V106;Susu;14220;15885;46;6;pcs;SUS-0106;8990000000106
Sikat Gigi Rasa-8 V107;Perawatan;14304;16022;99;12;kg;PER-0107;8990000000107
Tali Rasa-9 V108;Lain-lain;14388;16159;152;18;ml;LAI-0108;8990000000108
Pemutih Rasa-1 V109;Rumahan;14472;16296;205;24;pcs;RUM-0109;8990000000109
Otak-otak Rasa-2 V110;Beku;14556;16433;18;5;kg;BEK-0110;8990000000110
Indomie Goreng V111;Makanan;14640;16570;71;11;ml;MAK-0111;8990000000111
Teh Kotak Rasa-4 V112;Minuman;14724;16707;124;17;pcs;MIN-0112;8990000000112
Biskuit 150g Rasa-5 V113;Snack;14808;16844;177;23;kg;SNA-0113;8990000000113
Kecap Asin Rasa-6 V114;Bumbu;14892;16981;230;4;ml;BUM-0114;8990000000114
Minyak Goreng 2L Rasa-7 V115;Sembako;14976;17118;43;10;pcs;SEM-0115;8990000000115
Susu UHT Vanila V116;Susu;15060;17255;96;16;kg;SUS-0116;8990000000116
Sikat Gigi Rasa-9 V117;Perawatan;15144;17392;149;22;ml;PER-0117;8990000000117
Tali Rasa-1 V118;Lain-lain;15228;17529;202;3;pcs;LAI-0118;8990000000118
Pemutih Rasa-2 V119;Rumahan;15312;17666;15;9;kg;RUM-0119;8990000000119
Otak-otak Rasa-3 V120;Beku;15396;17803;68;15;ml;BEK-0120;8990000000120
Indomie Goreng V121;Makanan;15480;17940;121;21;pcs;MAK-0121;8990000000121
Teh Kotak Rasa-5 V122;Minuman;15564;18077;174;2;kg;MIN-0122;8990000000122
Biskuit 150g Rasa-6 V123;Snack;15648;18214;227;8;ml;SNA-0123;8990000000123
Kecap Asin Rasa-7 V124;Bumbu;15732;18351;40;14;pcs;BUM-0124;8990000000124
Minyak Goreng 2L Rasa-8 V125;Sembako;15816;18488;93;20;kg;SEM-0125;8990000000125
Susu UHT Vanila V126;Susu;15900;18625;146;1;ml;SUS-0126;8990000000126
Sikat Gigi Rasa-1 V127;Perawatan;15984;18762;199;7;pcs;PER-0127;8990000000127
Tali Rasa-2 V128;Lain-lain;16068;18899;12;13;kg;LAI-0128;8990000000128
Pemutih Rasa-3 V129;Rumahan;16152;19036;65;19;ml;RUM-0129;8990000000129
Otak-otak Rasa-4 V130;Beku;16236;19173;118;25;pcs;BEK-0130;8990000000130
Indomie Goreng V131;Makanan;16320;19310;171;6;kg;MAK-0131;8990000000131
Teh Kotak Rasa-6 V132;Minuman;16404;19447;224;12;ml;MIN-0132;8990000000132
Biskuit 150g Rasa-7 V133;Snack;16488;19584;37;18;pcs;SNA-0133;8990000000133
Kecap Asin Rasa-8 V134;Bumbu;16572;19721;90;24;kg;BUM-0134;8990000000134
Minyak Goreng 2L Rasa-9 V135;Sembako;16656;19858;143;5;ml;SEM-0135;8990000000135
Susu UHT Vanila V136;Susu;16740;19995;196;11;pcs;SUS-0136;8990000000136
Sikat Gigi Rasa-2 V137;Perawatan;16824;20132;9;17;kg;PER-0137;8990000000137
Tali Rasa-3 V138;Lain-lain;16908;20269;62;23;ml;LAI-0138;8990000000138
Pemutih Rasa-4 V139;Rumahan;16992;20406;115;4;pcs;RUM-0139;8990000000139
Otak-otak Rasa-5 V140;Beku;17076;20543;168;10;kg;BEK-0140;8990000000140
Indomie Goreng V141;Makanan;17160;20680;221;16;ml;MAK-0141;8990000000141
Teh Kotak Rasa-7 V142;Minuman;17244;20817;34;22;pcs;MIN-0142;8990000000142
Biskuit 150g Rasa-8 V143;Snack;17328;20954;87;3;kg;SNA-0143;8990000000143
Kecap Asin Rasa-9 V144;Bumbu;17412;21091;140;9;ml;BUM-0144;8990000000144
Minyak Goreng 2L Rasa-1 V145;Sembako;17496;21228;193;15;pcs;SEM-0145;8990000000145
Susu UHT Vanila V146;Susu;17580;21365;6;21;kg;SUS-0146;8990000000146
Sikat Gigi Rasa-3 V147;Perawatan;17664;21502;59;2;ml;PER-0147;8990000000147
Tali Rasa-4 V148;Lain-lain;17748;21639;112;8;pcs;LAI-0148;8990000000148
Pemutih Rasa-5 V149;Rumahan;17832;21776;165;14;kg;RUM-0149;8990000000149
Otak-otak Rasa-6 V150;Beku;17916;21913;218;20;ml;BEK-0150;8990000000150
Indomie Goreng V151;Makanan;18000;22050;31;1;pcs;MAK-0151;8990000000151
Teh Kotak Rasa-8 V152;Minuman;22084;22187;84;7;kg;MIN-0152;8990000000152
Biskuit 150g Rasa-9 V153;Snack;22168;22324;137;13;ml;SNA-0153;8990000000153
Kecap Asin Rasa-1 V154;Bumbu;22252;22461;190;19;pcs;BUM-0154;8990000000154
Minyak Goreng 2L Rasa-2 V155;Sembako;22336;22598;3;25;kg;SEM-0155;8990000000155
Susu UHT Vanila V156;Susu;22420;22735;56;6;ml;SUS-0156;8990000000156
Sikat Gigi Rasa-4 V157;Perawatan;22504;22872;109;12;pcs;PER-0157;8990000000157
Tali Rasa-5 V158;Lain-lain;22588;23009;162;18;kg;LAI-0158;8990000000158
Pemutih Rasa-6 V159;Rumahan;22672;23146;215;24;ml;RUM-0159;8990000000159
Otak-otak Rasa-7 V160;Beku;22756;23283;28;5;pcs;BEK-0160;8990000000160
Indomie Goreng V161;Makanan;22840;23420;81;11;kg;MAK-0161;8990000000161
Teh Kotak Rasa-9 V162;Minuman;22924;23557;134;17;ml;MIN-0162;8990000000162
Biskuit 150g Rasa-1 V163;Snack;23008;23694;187;23;pcs;SNA-0163;8990000000163
Kecap Asin Rasa-2 V164;Bumbu;23092;23831;240;4;kg;BUM-0164;8990000000164
Minyak Goreng 2L Rasa-3 V165;Sembako;23176;23968;53;10;ml;SEM-0165;8990000000165
Susu UHT Vanila V166;Susu;23260;24105;106;16;pcs;SUS-0166;8990000000166
Sikat Gigi Rasa-5 V167;Perawatan;23344;24242;159;22;kg;PER-0167;8990000000167
Tali Rasa-6 V168;Lain-lain;23428;24379;212;3;ml;LAI-0168;8990000000168
Pemutih Rasa-7 V169;Rumahan;23512;24516;25;9;pcs;RUM-0169;8990000000169
Otak-otak Rasa-8 V170;Beku;23596;24653;78;15;kg;BEK-0170;8990000000170
Indomie Goreng V171;Makanan;23680;24790;131;21;ml;MAK-0171;8990000000171
Teh Kotak Rasa-1 V172;Minuman;23764;24927;184;2;pcs;MIN-0172;8990000000172
Biskuit 150g Rasa-2 V173;Snack;23848;25064;237;8;kg;SNA-0173;8990000000173
Kecap Asin Rasa-3 V174;Bumbu;23932;25201;50;14;ml;BUM-0174;8990000000174
Minyak Goreng 2L Rasa-4 V175;Sembako;24016;25338;103;20;pcs;SEM-0175;8990000000175
Susu UHT Vanila V176;Susu;24100;25475;156;1;kg;SUS-0176;8990000000176
Sikat Gigi Rasa-6 V177;Perawatan;24184;25612;209;7;ml;PER-0177;8990000000177
Tali Rasa-7 V178;Lain-lain;24268;25749;22;13;pcs;LAI-0178;8990000000178
Pemutih Rasa-8 V179;Rumahan;24352;25886;75;19;kg;RUM-0179;8990000000179
Otak-otak Rasa-9 V180;Beku;24436;26023;128;25;ml;BEK-0180;8990000000180
Indomie Goreng V181;Makanan;24520;26160;181;6;pcs;MAK-0181;8990000000181
Teh Kotak Rasa-2 V182;Minuman;24604;26297;234;12;kg;MIN-0182;8990000000182
Biskuit 150g Rasa-3 V183;Snack;24688;26434;47;18;ml;SNA-0183;8990000000183
Kecap Asin Rasa-4 V184;Bumbu;24772;26571;100;24;pcs;BUM-0184;8990000000184
Minyak Goreng 2L Rasa-5 V185;Sembako;24856;26708;153;5;kg;SEM-0185;8990000000185
Susu UHT Vanila V186;Susu;24940;26845;206;11;ml;SUS-0186;8990000000186
Sikat Gigi Rasa-7 V187;Perawatan;25024;26982;19;17;pcs;PER-0187;8990000000187
Tali Rasa-8 V188;Lain-lain;25108;27119;72;23;kg;LAI-0188;8990000000188
Pemutih Rasa-9 V189;Rumahan;25192;27256;125;4;ml;RUM-0189;8990000000189
Otak-otak Rasa-1 V190;Beku;25276;27393;178;10;pcs;BEK-0190;8990000000190
Indomie Goreng V191;Makanan;25360;27530;231;16;kg;MAK-0191;8990000000191
Teh Kotak Rasa-3 V192;Minuman;25444;27667;44;22;ml;MIN-0192;8990000000192
Biskuit 150g Rasa-4 V193;Snack;25528;27804;97;3;pcs;SNA-0193;8990000000193
Kecap Asin Rasa-5 V194;Bumbu;25612;27941;150;9;kg;BUM-0194;8990000000194
Minyak Goreng 2L Rasa-6 V195;Sembako;25696;28078;203;15;ml;SEM-0195;8990000000195
Susu UHT Vanila V196;Susu;25780;28215;16;21;pcs;SUS-0196;8990000000196
Sikat Gigi Rasa-8 V197;Perawatan;25864;28352;69;2;kg;PER-0197;8990000000197
Tali Rasa-9 V198;Lain-lain;25948;28489;122;8;ml;LAI-0198;8990000000198
Pemutih Rasa-1 V199;Rumahan;26032;28626;175;14;pcs;RUM-0199;8990000000199
Otak-otak Rasa-2 V200;Beku;26116;28763;228;20;kg;BEK-0200;8990000000200
Indomie Goreng V201;Makanan;26200;28900;41;1;ml;MAK-0201;8990000000201
Teh Kotak Rasa-4 V202;Minuman;26284;29037;94;7;pcs;MIN-0202;8990000000202
Biskuit 150g Rasa-5 V203;Snack;26368;29174;147;13;kg;SNA-0203;8990000000203
Kecap Asin Rasa-6 V204;Bumbu;26452;29311;200;19;ml;BUM-0204;8990000000204
Minyak Goreng 2L Rasa-7 V205;Sembako;26536;29448;13;25;pcs;SEM-0205;8990000000205
Susu UHT Vanila V206;Susu;26620;29585;66;6;kg;SUS-0206;8990000000206
Sikat Gigi Rasa-9 V207;Perawatan;26704;29722;119;12;ml;PER-0207;8990000000207
Tali Rasa-1 V208;Lain-lain;26788;29859;172;18;pcs;LAI-0208;8990000000208
Pemutih Rasa-2 V209;Rumahan;26872;29996;225;24;kg;RUM-0209;8990000000209
Otak-otak Rasa-3 V210;Beku;26956;30133;38;5;ml;BEK-0210;8990000000210
Indomie Goreng V211;Makanan;27040;30270;91;11;pcs;MAK-0211;8990000000211
Teh Kotak Rasa-5 V212;Minuman;27124;30407;144;17;kg;MIN-0212;8990000000212
Biskuit 150g Rasa-6 V213;Snack;27208;30544;197;23;ml;SNA-0213;8990000000213
Kecap Asin Rasa-7 V214;Bumbu;27292;30681;10;4;pcs;BUM-0214;8990000000214
Minyak Goreng 2L Rasa-8 V215;Sembako;27376;30818;63;10;kg;SEM-0215;8990000000215
Susu UHT Vanila V216;Susu;27460;30955;116;16;ml;SUS-0216;8990000000216
Sikat Gigi Rasa-1 V217;Perawatan;27544;31092;169;22;pcs;PER-0217;8990000000217
Tali Rasa-2 V218;Lain-lain;27628;31229;222;3;kg;LAI-0218;8990000000218
Pemutih Rasa-3 V219;Rumahan;27712;31366;35;9;ml;RUM-0219;8990000000219
Otak-otak Rasa-4 V220;Beku;27796;31503;88;15;pcs;BEK-0220;8990000000220
Indomie Goreng V221;Makanan;27880;31640;141;21;kg;MAK-0221;8990000000221
Teh Kotak Rasa-6 V222;Minuman;27964;31777;194;2;ml;MIN-0222;8990000000222
Biskuit 150g Rasa-7 V223;Snack;28048;31914;7;8;pcs;SNA-0223;8990000000223
Kecap Asin Rasa-8 V224;Bumbu;28132;32051;60;14;kg;BUM-0224;8990000000224
Minyak Goreng 2L Rasa-9 V225;Sembako;28216;32188;113;20;ml;SEM-0225;8990000000225
Susu UHT Vanila V226;Susu;28300;32325;166;1;pcs;SUS-0226;8990000000226
Sikat Gigi Rasa-2 V227;Perawatan;28384;32462;219;7;kg;PER-0227;8990000000227
Tali Rasa-3 V228;Lain-lain;32468;32599;32;13;ml;LAI-0228;8990000000228
Pemutih Rasa-4 V229;Rumahan;32552;32736;85;19;pcs;RUM-0229;8990000000229
Otak-otak Rasa-5 V230;Beku;32636;32873;138;25;kg;BEK-0230;8990000000230
Indomie Goreng V231;Makanan;32720;33010;191;6;ml;MAK-0231;8990000000231
Teh Kotak Rasa-7 V232;Minuman;32804;33147;4;12;pcs;MIN-0232;8990000000232
Biskuit 150g Rasa-8 V233;Snack;32888;33284;57;18;kg;SNA-0233;8990000000233
Kecap Asin Rasa-9 V234;Bumbu;32972;33421;110;24;ml;BUM-0234;8990000000234
Minyak Goreng 2L Rasa-1 V235;Sembako;33056;33558;163;5;pcs;SEM-0235;8990000000235
Susu UHT Vanila V236;Susu;33140;33695;216;11;kg;SUS-0236;8990000000236
Sikat Gigi Rasa-3 V237;Perawatan;33224;33832;29;17;ml;PER-0237;8990000000237
Tali Rasa-4 V238;Lain-lain;33308;33969;82;23;pcs;LAI-0238;8990000000238
Pemutih Rasa-5 V239;Rumahan;33392;34106;135;4;kg;RUM-0239;8990000000239
Otak-otak Rasa-6 V240;Beku;33476;34243;188;10;ml;BEK-0240;8990000000240
Indomie Goreng V241;Makanan;33560;34380;1;16;pcs;MAK-0241;8990000000241
Teh Kotak Rasa-8 V242;Minuman;33644;34517;54;22;kg;MIN-0242;8990000000242
Biskuit 150g Rasa-9 V243;Snack;33728;34654;107;3;ml;SNA-0243;8990000000243
Kecap Asin Rasa-1 V244;Bumbu;33812;34791;160;9;pcs;BUM-0244;8990000000244
Minyak Goreng 2L Rasa-2 V245;Sembako;33896;34928;213;15;kg;SEM-0245;8990000000245
Susu UHT Vanila V246;Susu;33980;35065;26;21;ml;SUS-0246;8990000000246
Sikat Gigi Rasa-4 V247;Perawatan;34064;35202;79;2;pcs;PER-0247;8990000000247
Tali Rasa-5 V248;Lain-lain;34148;35339;132;8;kg;LAI-0248;8990000000248
Pemutih Rasa-6 V249;Rumahan;34232;35476;185;14;ml;RUM-0249;8990000000249
Otak-otak Rasa-7 V250;Beku;34316;35613;238;20;pcs;BEK-0250;8990000000250
Indomie Goreng V251;Makanan;34400;35750;51;1;kg;MAK-0251;8990000000251
Teh Kotak Rasa-9 V252;Minuman;34484;35887;104;7;ml;MIN-0252;8990000000252
Biskuit 150g Rasa-1 V253;Snack;34568;36024;157;13;pcs;SNA-0253;8990000000253
Kecap Asin Rasa-2 V254;Bumbu;34652;36161;210;19;kg;BUM-0254;8990000000254
Minyak Goreng 2L Rasa-3 V255;Sembako;34736;36298;23;25;ml;SEM-0255;8990000000255
Susu UHT Vanila V256;Susu;34820;36435;76;6;pcs;SUS-0256;8990000000256
Sikat Gigi Rasa-5 V257;Perawatan;34904;36572;129;12;kg;PER-0257;8990000000257
Tali Rasa-6 V258;Lain-lain;34988;36709;182;18;ml;LAI-0258;8990000000258
Pemutih Rasa-7 V259;Rumahan;35072;36846;235;24;pcs;RUM-0259;8990000000259
Otak-otak Rasa-8 V260;Beku;35156;36983;48;5;kg;BEK-0260;8990000000260
Indomie Goreng V261;Makanan;35240;37120;101;11;ml;MAK-0261;8990000000261
Teh Kotak Rasa-1 V262;Minuman;35324;37257;154;17;pcs;MIN-0262;8990000000262
Biskuit 150g Rasa-2 V263;Snack;35408;37394;207;23;kg;SNA-0263;8990000000263
Kecap Asin Rasa-3 V264;Bumbu;35492;37531;20;4;ml;BUM-0264;8990000000264
Minyak Goreng 2L Rasa-4 V265;Sembako;35576;37668;73;10;pcs;SEM-0265;8990000000265
Susu UHT Vanila V266;Susu;35660;37805;126;16;kg;SUS-0266;8990000000266
Sikat Gigi Rasa-6 V267;Perawatan;35744;37942;179;22;ml;PER-0267;8990000000267
Tali Rasa-7 V268;Lain-lain;35828;38079;232;3;pcs;LAI-0268;8990000000268
Pemutih Rasa-8 V269;Rumahan;35912;38216;45;9;kg;RUM-0269;8990000000269
Otak-otak Rasa-9 V270;Beku;35996;38353;98;15;ml;BEK-0270;8990000000270
Indomie Goreng V271;Makanan;36080;38490;151;21;pcs;MAK-0271;8990000000271
Teh Kotak Rasa-2 V272;Minuman;36164;38627;204;2;kg;MIN-0272;8990000000272
Biskuit 150g Rasa-3 V273;Snack;36248;38764;17;8;ml;SNA-0273;8990000000273
Kecap Asin Rasa-4 V274;Bumbu;36332;38901;70;14;pcs;BUM-0274;8990000000274
Minyak Goreng 2L Rasa-5 V275;Sembako;36416;39038;123;20;kg;SEM-0275;8990000000275
Susu UHT Vanila V276;Susu;36500;39175;176;1;ml;SUS-0276;8990000000276
Sikat Gigi Rasa-7 V277;Perawatan;36584;39312;229;7;pcs;PER-0277;8990000000277
Tali Rasa-8 V278;Lain-lain;36668;39449;42;13;kg;LAI-0278;8990000000278
Pemutih Rasa-9 V279;Rumahan;36752;39586;95;19;ml;RUM-0279;8990000000279
Otak-otak Rasa-1 V280;Beku;36836;39723;148;25;pcs;BEK-0280;8990000000280
Indomie Goreng V281;Makanan;36920;39860;201;6;kg;MAK-0281;8990000000281
Teh Kotak Rasa-3 V282;Minuman;37004;39997;14;12;ml;MIN-0282;8990000000282
Biskuit 150g Rasa-4 V283;Snack;37088;40134;67;18;pcs;SNA-0283;8990000000283
Kecap Asin Rasa-5 V284;Bumbu;37172;40271;120;24;kg;BUM-0284;8990000000284
Minyak Goreng 2L Rasa-6 V285;Sembako;37256;40408;173;5;ml;SEM-0285;8990000000285
Susu UHT Vanila V286;Susu;37340;40545;226;11;pcs;SUS-0286;8990000000286
Sikat Gigi Rasa-8 V287;Perawatan;37424;40682;39;17;kg;PER-0287;8990000000287
Tali Rasa-9 V288;Lain-lain;37508;40819;92;23;ml;LAI-0288;8990000000288
Pemutih Rasa-1 V289;Rumahan;37592;40956;145;4;pcs;RUM-0289;8990000000289
Otak-otak Rasa-2 V290;Beku;37676;41093;198;10;kg;BEK-0290;8990000000290
Indomie Goreng V291;Makanan;37760;41230;11;16;ml;MAK-0291;8990000000291
Teh Kotak Rasa-4 V292;Minuman;37844;41367;64;22;pcs;MIN-0292;8990000000292
Biskuit 150g Rasa-5 V293;Snack;37928;41504;117;3;kg;SNA-0293;8990000000293
